The United States of America, Life tables (period 1x5), Total     Last modified: 25-May-2016, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1933-1934        0     0.06473  0.06165  0.23  100000    6165   95237  6055521  60.56
1933-1934        1     0.01002  0.00997  0.50   93835     936   93367  5960284  63.52
1933-1934        2     0.00460  0.00459  0.50   92899     426   92686  5866917  63.15
1933-1934        3     0.00317  0.00316  0.50   92473     292   92327  5774231  62.44
1933-1934        4     0.00242  0.00242  0.50   92181     223   92069  5681904  61.64
1933-1934        5     0.00200  0.00200  0.50   91958     184   91866  5589834  60.79
1933-1934        6     0.00180  0.00180  0.50   91774     165   91692  5497968  59.91
1933-1934        7     0.00163  0.00163  0.50   91609     149   91535  5406277  59.01
1933-1934        8     0.00149  0.00149  0.50   91460     136   91392  5314742  58.11
1933-1934        9     0.00137  0.00137  0.50   91324     125   91262  5223350  57.20
1933-1934       10     0.00129  0.00129  0.50   91199     117   91140  5132088  56.27
1933-1934       11     0.00126  0.00125  0.50   91082     114   91024  5040948  55.35
1933-1934       12     0.00129  0.00129  0.50   90967     117   90909  4949923  54.41
1933-1934       13     0.00140  0.00140  0.50   90850     127   90786  4859015  53.48
1933-1934       14     0.00159  0.00159  0.50   90722     144   90650  4768229  52.56
1933-1934       15     0.00182  0.00182  0.50   90579     165   90496  4677578  51.64
1933-1934       16     0.00206  0.00206  0.50   90414     186   90320  4587082  50.73
1933-1934       17     0.00230  0.00230  0.50   90227     207   90124  4496762  49.84
1933-1934       18     0.00253  0.00252  0.50   90020     227   89907  4406638  48.95
1933-1934       19     0.00275  0.00275  0.50   89793     247   89670  4316731  48.07
1933-1934       20     0.00298  0.00297  0.50   89546     266   89413  4227062  47.21
1933-1934       21     0.00317  0.00317  0.50   89280     283   89138  4137649  46.34
1933-1934       22     0.00334  0.00333  0.50   88997     297   88849  4048510  45.49
1933-1934       23     0.00346  0.00346  0.50   88700     307   88547  3959661  44.64
1933-1934       24     0.00355  0.00354  0.50   88394     313   88237  3871114  43.79
1933-1934       25     0.00361  0.00360  0.50   88080     317   87922  3782877  42.95
1933-1934       26     0.00366  0.00366  0.50   87763     321   87603  3694955  42.10
1933-1934       27     0.00373  0.00373  0.50   87442     326   87280  3607352  41.25
1933-1934       28     0.00382  0.00381  0.50   87117     332   86951  3520073  40.41
1933-1934       29     0.00391  0.00390  0.50   86785     338   86616  3433122  39.56
1933-1934       30     0.00401  0.00401  0.50   86446     346   86273  3346507  38.71
1933-1934       31     0.00415  0.00415  0.50   86100     357   85922  3260233  37.87
1933-1934       32     0.00433  0.00433  0.50   85743     371   85558  3174312  37.02
1933-1934       33     0.00456  0.00455  0.50   85372     388   85178  3088754  36.18
1933-1934       34     0.00483  0.00482  0.50   84984     410   84779  3003576  35.34
1933-1934       35     0.00513  0.00512  0.50   84574     433   84358  2918797  34.51
1933-1934       36     0.00540  0.00539  0.50   84141     453   83915  2834439  33.69
1933-1934       37     0.00564  0.00562  0.50   83688     470   83453  2750525  32.87
1933-1934       38     0.00584  0.00582  0.50   83218     484   82975  2667072  32.05
1933-1934       39     0.00603  0.00601  0.50   82733     497   82485  2584097  31.23
1933-1934       40     0.00624  0.00623  0.50   82236     512   81980  2501612  30.42
1933-1934       41     0.00654  0.00652  0.50   81724     533   81458  2419632  29.61
1933-1934       42     0.00693  0.00691  0.50   81191     561   80911  2338174  28.80
1933-1934       43     0.00741  0.00739  0.50   80631     596   80333  2257263  28.00
1933-1934       44     0.00796  0.00793  0.50   80035     635   79718  2176930  27.20
1933-1934       45     0.00856  0.00853  0.50   79400     677   79062  2097213  26.41
1933-1934       46     0.00920  0.00916  0.50   78723     721   78363  2018151  25.64
1933-1934       47     0.00987  0.00982  0.50   78002     766   77619  1939788  24.87
1933-1934       48     0.01060  0.01054  0.50   77236     814   76829  1862169  24.11
1933-1934       49     0.01139  0.01133  0.50   76422     866   75989  1785340  23.36
1933-1934       50     0.01226  0.01218  0.50   75556     920   75096  1709351  22.62
1933-1934       51     0.01311  0.01303  0.50   74636     972   74150  1634255  21.90
1933-1934       52     0.01392  0.01383  0.50   73664    1018   73154  1560105  21.18
1933-1934       53     0.01469  0.01458  0.50   72645    1059   72116  1486951  20.47
1933-1934       54     0.01540  0.01529  0.50   71586    1094   71039  1414835  19.76
1933-1934       55     0.01613  0.01601  0.50   70492    1128   69928  1343796  19.06
1933-1934       56     0.01709  0.01694  0.50   69364    1175   68776  1273869  18.37
1933-1934       57     0.01834  0.01818  0.50   68188    1239   67569  1205093  17.67
1933-1934       58     0.01993  0.01973  0.50   66949    1321   66288  1137524  16.99
1933-1934       59     0.02188  0.02164  0.50   65628    1420   64918  1071235  16.32
1933-1934       60     0.02413  0.02384  0.50   64207    1531   63442  1006318  15.67
1933-1934       61     0.02636  0.02602  0.50   62677    1631   61861   942876  15.04
1933-1934       62     0.02848  0.02808  0.50   61046    1714   60189   881014  14.43
1933-1934       63     0.03049  0.03003  0.50   59332    1782   58441   820826  13.83
1933-1934       64     0.03241  0.03190  0.50   57550    1836   56632   762385  13.25
1933-1934       65     0.03436  0.03378  0.50   55714    1882   54773   705753  12.67
1933-1934       66     0.03677  0.03610  0.50   53832    1943   52861   650980  12.09
1933-1934       67     0.03985  0.03907  0.50   51889    2027   50875   598119  11.53
1933-1934       68     0.04370  0.04276  0.50   49862    2132   48795   547244  10.98
1933-1934       69     0.04841  0.04726  0.50   47729    2256   46601   498449  10.44
1933-1934       70     0.05392  0.05250  0.50   45473    2388   44280   451847   9.94
1933-1934       71     0.05954  0.05782  0.50   43086    2491   41840   407568   9.46
1933-1934       72     0.06493  0.06289  0.50   40595    2553   39318   365727   9.01
1933-1934       73     0.07005  0.06768  0.50   38042    2575   36755   326409   8.58
1933-1934       74     0.07482  0.07212  0.50   35467    2558   34188   289654   8.17
1933-1934       75     0.07798  0.07506  0.50   32909    2470   31674   255466   7.76
1933-1934       76     0.08451  0.08108  0.50   30439    2468   29205   223792   7.35
1933-1934       77     0.09205  0.08800  0.50   27971    2462   26740   194586   6.96
1933-1934       78     0.10071  0.09588  0.50   25510    2446   24287   167846   6.58
1933-1934       79     0.11040  0.10462  0.50   23064    2413   21857   143559   6.22
1933-1934       80     0.11876  0.11211  0.50   20651    2315   19493   121702   5.89
1933-1934       81     0.12967  0.12178  0.50   18336    2233   17219   102209   5.57
1933-1934       82     0.14093  0.13166  0.50   16103    2120   15043    84989   5.28
1933-1934       83     0.15235  0.14156  0.50   13983    1979   12993    69947   5.00
1933-1934       84     0.16385  0.15144  0.50   12003    1818   11094    56954   4.74
1933-1934       85     0.17552  0.16136  0.50   10186    1644    9364    45859   4.50
1933-1934       86     0.18832  0.17211  0.50    8542    1470    7807    36496   4.27
1933-1934       87     0.20272  0.18406  0.50    7072    1302    6421    28689   4.06
1933-1934       88     0.21836  0.19686  0.50    5770    1136    5202    22268   3.86
1933-1934       89     0.23426  0.20970  0.50    4634     972    4148    17066   3.68
1933-1934       90     0.24943  0.22177  0.50    3662     812    3256    12917   3.53
1933-1934       91     0.26261  0.23213  0.50    2850     662    2519     9661   3.39
1933-1934       92     0.27295  0.24017  0.50    2189     526    1926     7142   3.26
1933-1934       93     0.27995  0.24558  0.50    1663     408    1459     5216   3.14
1933-1934       94     0.28462  0.24916  0.50    1255     313    1098     3757   2.99
1933-1934       95     0.31678  0.27347  0.50     942     258     813     2659   2.82
1933-1934       96     0.33439  0.28649  0.50     684     196     586     1846   2.70
1933-1934       97     0.35247  0.29966  0.50     488     146     415     1259   2.58
1933-1934       98     0.37099  0.31294  0.50     342     107     288      844   2.47
1933-1934       99     0.38991  0.32629  0.50     235      77     197      556   2.37
1933-1934      100     0.40917  0.33967  0.50     158      54     131      359   2.27
1933-1934      101     0.42872  0.35304  0.50     105      37      86      228   2.18
1933-1934      102     0.44850  0.36634  0.50      68      25      55      142   2.09
1933-1934      103     0.46845  0.37955  0.50      43      16      35       86   2.02
1933-1934      104     0.48851  0.39261  0.50      27      10      21       52   1.94
1933-1934      105     0.50862  0.40550  0.50      16       7      13       30   1.88
1933-1934      106     0.52871  0.41816  0.50      10       4       8       17   1.81
1933-1934      107     0.54871  0.43058  0.50       6       2       4       10   1.76
1933-1934      108     0.56857  0.44271  0.50       3       1       2        5   1.71
1933-1934      109     0.58821  0.45453  0.50       2       1       1        3   1.67
1933-1934      110+    0.60759  1.00000  1.65       1       1       2        2   1.65
1935-1939        0     0.05937  0.05672  0.21  100000    5672   95535  6154973  61.55
1935-1939        1     0.00802  0.00799  0.50   94328     754   93952  6059438  64.24
1935-1939        2     0.00376  0.00375  0.50   93575     351   93399  5965486  63.75
1935-1939        3     0.00262  0.00261  0.50   93224     244   93102  5872087  62.99
1935-1939        4     0.00209  0.00209  0.50   92980     194   92883  5778985  62.15
1935-1939        5     0.00175  0.00174  0.50   92786     162   92705  5686101  61.28
1935-1939        6     0.00156  0.00156  0.50   92624     144   92552  5593396  60.39
1935-1939        7     0.00140  0.00140  0.50   92480     130   92415  5500844  59.48
1935-1939        8     0.00128  0.00128  0.50   92351     118   92292  5408428  58.56
1935-1939        9     0.00119  0.00119  0.50   92233     110   92178  5316137  57.64
1935-1939       10     0.00113  0.00113  0.50   92123     104   92071  5223959  56.71
1935-1939       11     0.00113  0.00113  0.50   92019     104   91967  5131888  55.77
